Domain,Sub_domains,DNS,Have_IP,Have_At,URL_Length,HTTP_Domain,URL_Depth,Redirection,Tiny_URL,Prefix/Suffix,iframe,Mouse_over,Right_click,forwards,login_form,SSL_certificate,domain_age,domain_end,unusual_character,has_javascript,source_code,privacy_policy,Label
extratorrent.cc,0,1,0,0,1,0,3,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
1337x.to,0,1,0,0,1,0,3,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0
extratorrent.cc,0,1,0,0,1,0,3,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
medium.com,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
torcache.net,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
distractify.com,0,1,0,0,1,0,10,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
hollywoodlife.com,0,1,0,0,1,0,4,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0
steamcommunity.com,0,1,0,0,1,0,5,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0
allrecipes.com,0,1,0,0,1,0,3,0,0,0,1,0,0,0,0,1,1,1,1,1,0,1,0
emgn.com,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
olx.ro,0,1,0,0,1,0,6,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0
censor.net.ua,1,1,0,0,1,0,3,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0
themeforest.net,0,1,0,0,1,0,4,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,0
olx.in,0,1,0,0,1,0,3,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
askubuntu.com,0,1,0,0,1,0,3,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0
worldoftanks.ru,0,1,0,0,1,0,5,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
seasonvar.ru,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0
metro.co.uk,1,1,0,0,1,0,4,0,0,0,1,0,0,0,0,1,1,1,0,1,1,1,0
variety.com,0,1,0,0,1,0,8,0,0,0,1,0,0,0,1,1,1,0,0,1,1,1,0
hdfcbank.com,0,1,0,0,1,0,5,0,0,0,1,0,0,0,0,1,1,1,0,1,0,1,0
torcache.net,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
searchengineland.com,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
perezhilton.com,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
nguyentandung.org,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0
olx.in,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
xossip.com,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
web.de,0,1,0,0,1,0,6,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
olx.in,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
olx.ro,0,1,0,0,1,0,4,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0
mylust.com,0,1,0,0,1,0,3,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0
indianexpress.com,0,1,0,0,1,0,3,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
allegro.pl,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0
fazenda.gov.br,1,1,0,0,1,0,3,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
nguyentandung.org,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
plarium.com,0,1,0,0,1,0,5,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
ap.org,0,1,0,0,1,0,4,0,0,0,1,0,0,0,0,1,1,1,0,1,1,1,0
kotaku.com,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
tobogo.net,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
bongda88.info,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
ecnavi.jp,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1,1,1,1,1,1,0,1,0
udn.com,0,1,0,0,1,0,4,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0
qz.com,0,1,0,0,1,0,2,0,0,0,1,0,0,0,0,1,1,1,0,1,1,0,0
udn.com,0,1,0,0,1,0,4,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0
shareba.com,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
deadspin.com,0,1,0,0,1,0,3,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0
indianexpress.com,0,1,0,0,1,0,4,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0
seesaawiki.jp,0,1,0,0,1,0,4,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
thenextweb.com,0,1,0,0,1,0,6,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
mylust.com,0,1,0,0,1,0,3,0,1,0,1,1,0,0,1,1,1,1,0,1,0,1,0
irecommend.ru,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
jezebel.com,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
ap.org,0,1,0,0,1,0,4,0,0,0,1,0,0,0,0,1,1,1,0,1,1,1,0
seasonvar.ru,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0
correios.com.br,1,1,0,0,1,0,4,0,0,0,1,0,0,0,1,1,1,1,0,1,0,0,0
ecnavi.jp,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1,1,1,1,1,1,0,1,0
wikiwiki.jp,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0
indianexpress.com,0,1,0,0,1,0,4,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0
indianexpress.com,0,1,0,0,1,0,4,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
mylust.com,0,1,0,0,1,0,3,0,1,0,1,1,0,0,1,1,1,1,0,1,0,1,0
indianexpress.com,0,1,0,0,1,0,4,0,0,0,1,0,0,0,0,1,1,1,0,1,1,1,0
twitter.com,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0
udn.com,0,1,0,0,1,0,4,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0
metro.co.uk,1,1,0,0,1,0,4,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
kakaku.com,0,1,0,0,1,0,6,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0
gawker.com,0,1,0,0,1,0,3,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0
allrecipes.com,0,1,0,0,1,0,3,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
ecnavi.jp,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
deadspin.com,0,1,0,0,1,0,3,0,0,0,1,0,0,0,0,1,1,1,0,1,1,0,0
searchengineland.com,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
cheezburger.com,0,1,0,0,1,0,2,0,0,0,1,0,0,0,0,1,1,1,0,1,0,1,0
extratorrent.cc,0,1,0,0,1,0,3,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
thenextweb.com,0,1,0,0,1,0,5,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
techcrunch.com,0,1,0,0,1,0,3,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
hollywoodlife.com,0,1,0,0,1,0,4,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
